trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.3, 'e': 0.18637397603940997}",25,12,25.449134947022433,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.18451952399298926}",20,8,14.864300533561385,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.18268352405273466}",20,2,-12.307852399766377,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.3, 'e': 0.1808657926171221}",20,4,23.129719547619136,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.17906614791149322}",30,7,15.217426776009079,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.17728440996987782}",20,0,4.673616446438919,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
174,False,"{'a': 0.3, 'e': 0.17552040061699686}",25,15,5.357399536498414,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.17377394345044514}",20,12,9.064991486286482,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.17204486382305054}",20,3,25.362103179439337,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.17033298882540943}",25,16,18.93090740347949,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.1686381472685955}",20,15,9.146824252199387,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.16696016966704069}",30,0,12.595898762648048,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
180,False,"{'a': 0.3, 'e': 0.16529888822158653}",25,11,22.152096430609795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.16365413680270405}",20,5,12.416188735073487,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.16202575093388075}",25,13,23.563561637593253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
